Gene;start;end;strand;gene_name;operon;COG;accession
LMB90_RS05280;1496;3040;#ERROR!;LMB90_RS05280;Op55;Replication, Recombination, & Repair;NZ_JAJGVJ010000058.1
LMB90_RS05325;13722;14483;-;xth;Op400;Replication, Recombination, & Repair;NZ_JAJGVJ010000058.1
LMB90_RS05350;19086;20585;#ERROR!;LMB90_RS05350;Op525;Replication, Recombination, & Repair;NZ_JAJGVJ010000058.1
LMB90_RS05390;26095;26634;#ERROR!;LMB90_RS05390;Op675;Replication, Recombination, & Repair;NZ_JAJGVJ010000058.1
LMB90_RS05550;54793;55977;#ERROR!;LMB90_RS05550;Op1197;Replication, Recombination, & Repair;NZ_JAJGVJ010000058.1
LMB90_RS05555;55981;58473;#ERROR!;LMB90_RS05555;Op1216;Replication, Recombination, & Repair;NZ_JAJGVJ010000058.1
LMB90_RS05650;76360;79026;#ERROR!;polA;Op1513;Replication, Recombination, & Repair;NZ_JAJGVJ010000058.1
LMB90_RS05655;79041;79871;#ERROR!;mutM;Op1549;Replication, Recombination, & Repair;NZ_JAJGVJ010000058.1
LMB90_RS05670;81002;82357;#ERROR!;LMB90_RS05670;Op1575;Replication, Recombination, & Repair;NZ_JAJGVJ010000058.1
LMB90_RS05675;82378;83319;#ERROR!;dnaI;Op1589;Replication, Recombination, & Repair;NZ_JAJGVJ010000058.1
LMB90_RS05780;99031;100260;#ERROR!;LMB90_RS05780;Op1745;Replication, Recombination, & Repair;NZ_JAJGVJ010000058.1
LMB90_RS05815;5090;5923;-;LMB90_RS05815;Op157;Replication, Recombination, & Repair;NZ_JAJGVJ010000059.1
LMB90_RS05920;20256;22631;-;LMB90_RS05920;Op550;Replication, Recombination, & Repair;NZ_JAJGVJ010000059.1
LMB90_RS05970;31574;32590;-;ruvB;Op784;Replication, Recombination, & Repair;NZ_JAJGVJ010000059.1
LMB90_RS05975;32605;33204;-;ruvA;Op811;Replication, Recombination, & Repair;NZ_JAJGVJ010000059.1
LMB90_RS05980;33217;35223;-;mutL;Op822;Replication, Recombination, & Repair;NZ_JAJGVJ010000059.1
LMB90_RS05985;35235;37880;-;mutS;Op859;Replication, Recombination, & Repair;NZ_JAJGVJ010000059.1
LMB90_RS05995;39818;40906;-;recA;Op948;Replication, Recombination, & Repair;NZ_JAJGVJ010000059.1
LMB90_RS06055;52193;52825;-;LMB90_RS06055;Op1162;Replication, Recombination, & Repair;NZ_JAJGVJ010000059.1
LMB90_RS06175;84407;85711;#ERROR!;LMB90_RS06175;Op1612;Replication, Recombination, & Repair;NZ_JAJGVJ010000059.1
LMB90_RS06410;28698;29261;#ERROR!;rsmD;Op724;Replication, Recombination, & Repair;NZ_JAJGVJ010000060.1
LMB90_RS06425;30914;31546;#ERROR!;LMB90_RS06425;Op766;Replication, Recombination, & Repair;NZ_JAJGVJ010000060.1
LMB90_RS06440;34342;35373;#ERROR!;holA;Op844;Replication, Recombination, & Repair;NZ_JAJGVJ010000060.1
LMB90_RS06495;44773;46584;#ERROR!;uvrC;Op1038;Replication, Recombination, & Repair;NZ_JAJGVJ010000060.1
LMB90_RS06515;49911;52238;#ERROR!;recJ;Op1123;Replication, Recombination, & Repair;NZ_JAJGVJ010000060.1
LMB90_RS06530;53733;54848;-;LMB90_RS06530;Op1181;Replication, Recombination, & Repair;NZ_JAJGVJ010000060.1
LMB90_RS06570;57799;58635;#ERROR!;LMB90_RS06570;Op1242;Replication, Recombination, & Repair;NZ_JAJGVJ010000060.1
LMB90_RS06590;60924;61376;#ERROR!;LMB90_RS06590;Op1289;Replication, Recombination, & Repair;NZ_JAJGVJ010000060.1
LMB90_RS06630;68478;69146;#ERROR!;LMB90_RS06630;Op1403;Replication, Recombination, & Repair;NZ_JAJGVJ010000060.1
LMB90_RS06660;72457;73212;#ERROR!;LMB90_RS06660;Op1462;Replication, Recombination, & Repair;NZ_JAJGVJ010000060.1
LMB90_RS06665;73202;73492;#ERROR!;LMB90_RS06665;Op1474;Replication, Recombination, & Repair;NZ_JAJGVJ010000060.1
LMB90_RS06695;77962;78360;#ERROR!;tnpA;Op1535;Replication, Recombination, & Repair;NZ_JAJGVJ010000060.1
LMB90_RS06700;78360;79535;#ERROR!;LMB90_RS06700;Op1541;Replication, Recombination, & Repair;NZ_JAJGVJ010000060.1
LMB90_RS06725;84559;88890;#ERROR!;LMB90_RS06725;Op1613;Replication, Recombination, & Repair;NZ_JAJGVJ010000060.1
LMB90_RS06810;105213;105791;-;LMB90_RS06810;Op1789;Replication, Recombination, & Repair;NZ_JAJGVJ010000060.1
LMB90_RS06865;1025;1369;#ERROR!;LMB90_RS06865;Op50;Replication, Recombination, & Repair;NZ_JAJGVJ010000061.1
LMB90_RS06935;2012;3493;-;zwf;Op77;Replication, Recombination, & Repair;NZ_JAJGVJ010000062.1
LMB90_RS07060;29904;31256;#ERROR!;brnQ;Op747;Replication, Recombination, & Repair;NZ_JAJGVJ010000062.1
LMB90_RS07065;31282;32184;#ERROR!;LMB90_RS07065;Op777;Replication, Recombination, & Repair;NZ_JAJGVJ010000062.1
LMB90_RS07160;50984;51325;-;LMB90_RS07160;Op1138;Replication, Recombination, & Repair;NZ_JAJGVJ010000062.1
LMB90_RS07385;100739;102097;#ERROR!;LMB90_RS07385;Op1762;Replication, Recombination, & Repair;NZ_JAJGVJ010000062.1
LMB90_RS07410;107216;109372;#ERROR!;LMB90_RS07410;Op1803;Replication, Recombination, & Repair;NZ_JAJGVJ010000062.1
LMB90_RS07415;109377;110621;#ERROR!;LMB90_RS07415;Op1815;Replication, Recombination, & Repair;NZ_JAJGVJ010000062.1
LMB90_RS07725;3052;3903;#ERROR!;LMB90_RS07725;Op106;Replication, Recombination, & Repair;NZ_JAJGVJ010000064.1
LMB90_RS07820;16027;16899;#ERROR!;LMB90_RS07820;Op454;Replication, Recombination, & Repair;NZ_JAJGVJ010000064.1
LMB90_RS07825;16911;17732;#ERROR!;LMB90_RS07825;Op477;Replication, Recombination, & Repair;NZ_JAJGVJ010000064.1
LMB90_RS07845;20602;21222;#ERROR!;gmk;Op555;Replication, Recombination, & Repair;NZ_JAJGVJ010000064.1
LMB90_RS07870;26144;27493;#ERROR!;rsmB;Op676;Replication, Recombination, & Repair;NZ_JAJGVJ010000064.1
LMB90_RS07925;38302;38556;#ERROR!;acpP;Op920;Replication, Recombination, & Repair;NZ_JAJGVJ010000064.1
LMB90_RS07995;51885;52763;-;LMB90_RS07995;Op1156;Replication, Recombination, & Repair;NZ_JAJGVJ010000064.1
LMB90_RS08015;55035;55520;-;LMB90_RS08015;Op1198;Replication, Recombination, & Repair;NZ_JAJGVJ010000064.1
LMB90_RS08040;58271;59290;#ERROR!;LMB90_RS08040;Op1250;Replication, Recombination, & Repair;NZ_JAJGVJ010000064.1
LMB90_RS08375;55595;56272;-;LMB90_RS08375;Op1210;Replication, Recombination, & Repair;NZ_JAJGVJ010000065.1
LMB90_RS08380;56475;58733;#ERROR!;LMB90_RS08380;Op1224;Replication, Recombination, & Repair;NZ_JAJGVJ010000065.1
LMB90_RS08385;58843;59265;#ERROR!;LMB90_RS08385;Op1257;Replication, Recombination, & Repair;NZ_JAJGVJ010000065.1
LMB90_RS09005;119245;120537;#ERROR!;LMB90_RS09005;Op1878;Replication, Recombination, & Repair;NZ_JAJGVJ010000066.1
LMB90_RS09180;1547;1783;-;rpsR;Op57;Replication, Recombination, & Repair;NZ_JAJGVJ010000067.1
LMB90_RS09185;1817;2380;-;ssb;Op71;Replication, Recombination, & Repair;NZ_JAJGVJ010000067.1
LMB90_RS09195;2917;5421;-;gyrA;Op102;Replication, Recombination, & Repair;NZ_JAJGVJ010000067.1
LMB90_RS09205;7410;8534;-;recF;Op218;Replication, Recombination, & Repair;NZ_JAJGVJ010000067.1
LMB90_RS09210;8543;8764;-;yaaA;Op252;Replication, Recombination, & Repair;NZ_JAJGVJ010000067.1
LMB90_RS09215;9032;9826;#ERROR!;LMB90_RS09215;Op269;Replication, Recombination, & Repair;NZ_JAJGVJ010000067.1
LMB90_RS09230;13028;13162;#ERROR!;rpmH;Op380;Replication, Recombination, & Repair;NZ_JAJGVJ010000067.1
LMB90_RS09235;13301;13654;#ERROR!;rnpA;Op388;Replication, Recombination, & Repair;NZ_JAJGVJ010000067.1
LMB90_RS09445;1862;7366;#ERROR!;LMB90_RS09445;Op75;Replication, Recombination, & Repair;NZ_JAJGVJ010000068.1
LMB90_RS09450;7653;8834;#ERROR!;LMB90_RS09450;Op226;Replication, Recombination, & Repair;NZ_JAJGVJ010000068.1
LMB90_RS09765;75912;77141;-;LMB90_RS09765;Op1509;Replication, Recombination, & Repair;NZ_JAJGVJ010000068.1
LMB90_RS09775;1734;2507;#ERROR!;LMB90_RS09775;Op68;Replication, Recombination, & Repair;NZ_JAJGVJ010000069.1
LMB90_RS09780;2657;3283;#ERROR!;LMB90_RS09780;Op94;Replication, Recombination, & Repair;NZ_JAJGVJ010000069.1
LMB90_RS09805;9522;10637;#ERROR!;LMB90_RS09805;Op279;Replication, Recombination, & Repair;NZ_JAJGVJ010000069.1
LMB90_RS09810;10789;11106;#ERROR!;gatC;Op319;Replication, Recombination, & Repair;NZ_JAJGVJ010000069.1
LMB90_RS09900;28908;30026;-;LMB90_RS09900;Op728;Replication, Recombination, & Repair;NZ_JAJGVJ010000069.1
LMB90_RS09950;37915;38364;-;tnpA;Op913;Replication, Recombination, & Repair;NZ_JAJGVJ010000069.1
LMB90_RS09960;39866;40267;-;LMB90_RS09960;Op949;Replication, Recombination, & Repair;NZ_JAJGVJ010000069.1
LMB90_RS09965;40516;41439;#ERROR!;LMB90_RS09965;Op960;Replication, Recombination, & Repair;NZ_JAJGVJ010000069.1
LMB90_RS10045;54189;54428;-;LMB90_RS10045;Op1186;Replication, Recombination, & Repair;NZ_JAJGVJ010000069.1
LMB90_RS10210;89086;91407;#ERROR!;LMB90_RS10210;Op1657;Replication, Recombination, & Repair;NZ_JAJGVJ010000069.1
LMB90_RS06760;108242;109471;-;LMB90_RS06760;Op1809;Replication, Recombination, & Repair;NZ_JAJGVJ010000069.1
LMB90_RS00300;8490;10649;#ERROR!;LMB90_RS00300;Op249;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000026.1
LMB90_RS00305;10674;11645;#ERROR!;mraY;Op313;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000026.1
LMB90_RS00310;11658;13028;#ERROR!;murD;Op341;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000026.1
LMB90_RS00315;13030;14142;#ERROR!;murG;Op381;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000026.1
LMB90_RS00415;33254;37084;#ERROR!;LMB90_RS00415;Op823;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000026.1
LMB90_RS00575;28105;29004;#ERROR!;LMB90_RS00575;Op709;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS00775;67998;69365;#ERROR!;glmU;Op1394;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS00825;79019;80296;#ERROR!;LMB90_RS00825;Op1548;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS00845;83025;83729;#ERROR!;LMB90_RS00845;Op1596;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS00890;92934;94313;#ERROR!;LMB90_RS00890;Op1692;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS00910;110450;111739;-;dltD;Op1822;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS00920;111991;113208;-;dltB;Op1829;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000030.1
LMB90_RS01540;26753;27817;#ERROR!;LMB90_RS01540;Op686;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000044.1
LMB90_RS01590;36587;48448;#ERROR!;LMB90_RS01590;Op891;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000044.1
LMB90_RS01595;48899;62842;#ERROR!;LMB90_RS01595;Op1106;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000044.1
LMB90_RS01810;34990;35838;-;LMB90_RS01810;Op853;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000045.1
LMB90_RS01850;44674;45120;-;lspA;Op1037;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000045.1
LMB90_RS01895;50526;52790;#ERROR!;LMB90_RS01895;Op1132;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000045.1
LMB90_RS01965;68471;69211;-;LMB90_RS01965;Op1402;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000045.1
LMB90_RS02355;29464;30546;#ERROR!;LMB90_RS02355;Op740;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000046.1
LMB90_RS02645;22847;24022;#ERROR!;LMB90_RS02645;Op610;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000047.1
LMB90_RS02665;1649;2677;-;LMB90_RS02665;Op61;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000048.1
LMB90_RS02670;2680;3897;-;LMB90_RS02670;Op95;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000048.1
LMB90_RS02755;140;1369;-;LMB90_RS02755;Op33;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000050.1
LMB90_RS03390;25738;28257;#ERROR!;LMB90_RS03390;Op668;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000051.1
LMB90_RS03430;33284;34390;#ERROR!;LMB90_RS03430;Op824;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000051.1
LMB90_RS03520;51888;52865;#ERROR!;bsh;Op1157;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000051.1
LMB90_RS03555;58878;59273;#ERROR!;LMB90_RS03555;Op1259;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000051.1
LMB90_RS03670;84989;85570;#ERROR!;LMB90_RS03670;Op1617;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000051.1
LMB90_RS03810;113292;113786;#ERROR!;LMB90_RS03810;Op1842;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000051.1
LMB90_RS03970;24170;25165;-;galE;Op637;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000052.1
LMB90_RS04115;7178;8020;#ERROR!;LMB90_RS04115;Op210;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000053.1
LMB90_RS04235;9914;10741;#ERROR!;lgt;Op294;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000055.1
LMB90_RS04245;11848;12762;#ERROR!;galU;Op348;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000055.1
LMB90_RS04430;52894;53790;#ERROR!;murB;Op1172;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000055.1
LMB90_RS04465;60309;62129;#ERROR!;glmS;Op1278;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000055.1
LMB90_RS04490;66229;66840;#ERROR!;LMB90_RS04490;Op1369;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000055.1
LMB90_RS04675;108812;111922;#ERROR!;LMB90_RS04675;Op1811;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000055.1
LMB90_RS04720;119811;121148;-;LMB90_RS04720;Op1881;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000055.1
LMB90_RS04875;9015;9734;#ERROR!;LMB90_RS04875;Op266;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000056.1
LMB90_RS05060;46703;48004;#ERROR!;LMB90_RS05060;Op1072;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000056.1
LMB90_RS05090;51231;51602;-;mscL;Op1144;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000056.1
LMB90_RS05175;10781;12880;-;LMB90_RS05175;Op318;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000057.1
LMB90_RS05200;17633;18271;-;LMB90_RS05200;Op491;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000057.1
LMB90_RS05310;9917;10711;#ERROR!;LMB90_RS05310;Op296;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000058.1
LMB90_RS05320;12897;13601;#ERROR!;LMB90_RS05320;Op373;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000058.1
LMB90_RS05540;52128;54293;#ERROR!;LMB90_RS05540;Op1161;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000058.1
LMB90_RS05560;58588;59526;#ERROR!;LMB90_RS05560;Op1253;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000058.1
LMB90_RS05590;63236;67482;#ERROR!;LMB90_RS05590;Op1323;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000058.1
LMB90_RS05605;68006;69508;-;LMB90_RS05605;Op1395;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000058.1
LMB90_RS05635;73394;74698;#ERROR!;murC;Op1477;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000058.1
LMB90_RS05880;14897;15772;#ERROR!;LMB90_RS05880;Op425;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000059.1
LMB90_RS05905;18284;19087;-;murI;Op507;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000059.1
LMB90_RS06040;49522;50058;-;mreD;Op1115;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000059.1
LMB90_RS06045;50065;50922;-;mreC;Op1126;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000059.1
LMB90_RS06260;101142;102458;-;murA;Op1764;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000059.1
LMB90_RS06270;1;1970;#ERROR!;LMB90_RS06270;Op0;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000060.1
LMB90_RS06335;14417;15850;#ERROR!;LMB90_RS06335;Op415;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000060.1
LMB90_RS06715;81448;82722;#ERROR!;rseP;Op1580;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000060.1
LMB90_RS06805;105032;105232;#ERROR!;LMB90_RS06805;Op1786;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000060.1
LMB90_RS07405;105948;106868;#ERROR!;LMB90_RS07405;Op1796;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000062.1
LMB90_RS07425;112058;112828;#ERROR!;LMB90_RS07425;Op1831;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000062.1
LMB90_RS07490;3815;5635;#ERROR!;LMB90_RS07490;Op125;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000063.1
LMB90_RS07495;5819;7501;#ERROR!;LMB90_RS07495;Op179;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000063.1
LMB90_RS07500;7519;8904;#ERROR!;LMB90_RS07500;Op224;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000063.1
LMB90_RS07555;38756;52054;#ERROR!;LMB90_RS07555;Op934;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000063.1
LMB90_RS07560;53712;55019;#ERROR!;serS;Op1179;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000063.1
LMB90_RS07565;55286;56749;#ERROR!;LMB90_RS07565;Op1205;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000063.1
LMB90_RS08130;1;2049;-;LMB90_RS08130;Op9;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000065.1
LMB90_RS08200;14260;14781;#ERROR!;LMB90_RS08200;Op411;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000065.1
LMB90_RS08210;15651;16457;#ERROR!;LMB90_RS08210;Op445;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000065.1
LMB90_RS08215;16460;17305;#ERROR!;LMB90_RS08215;Op467;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000065.1
LMB90_RS08230;19640;21046;#ERROR!;LMB90_RS08230;Op536;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000065.1
LMB90_RS08250;23715;24458;#ERROR!;LMB90_RS08250;Op629;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000065.1
LMB90_RS08255;24515;25360;#ERROR!;rfbD;Op644;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000065.1
LMB90_RS08260;25816;31134;#ERROR!;LMB90_RS08260;Op669;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000065.1
LMB90_RS08265;31358;32041;#ERROR!;LMB90_RS08265;Op780;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000065.1
LMB90_RS08370;51861;54962;#ERROR!;LMB90_RS08370;Op1155;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000065.1
LMB90_RS08505;15530;16693;#ERROR!;LMB90_RS08505;Op443;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000066.1
LMB90_RS08725;63958;65169;#ERROR!;LMB90_RS08725;Op1334;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000066.1
LMB90_RS08735;66133;67254;-;LMB90_RS08735;Op1366;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000066.1
LMB90_RS08795;78080;78733;#ERROR!;LMB90_RS08795;Op1538;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000066.1
LMB90_RS08880;97178;97720;#ERROR!;LMB90_RS08880;Op1729;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000066.1
LMB90_RS08890;98816;99436;-;LMB90_RS08890;Op1744;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000066.1
LMB90_RS09275;24355;24960;#ERROR!;lepB;Op639;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000067.1
LMB90_RS09290;26607;27254;-;LMB90_RS09290;Op681;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000067.1
LMB90_RS09305;28993;30030;#ERROR!;LMB90_RS09305;Op730;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000067.1
LMB90_RS09310;30104;31405;#ERROR!;LMB90_RS09310;Op749;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000067.1
LMB90_RS09455;9095;9652;#ERROR!;efp;Op272;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000068.1
LMB90_RS09615;37164;37925;-;LMB90_RS09615;Op898;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000068.1
LMB90_RS09730;65474;66511;-;LMB90_RS09730;Op1358;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000068.1
LMB90_RS09975;41889;42323;-;LMB90_RS09975;Op983;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000069.1
LMB90_RS10115;65014;65943;#ERROR!;LMB90_RS10115;Op1349;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000069.1
LMB90_RS10120;66135;68879;#ERROR!;LMB90_RS10120;Op1367;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000069.1
LMB90_RS10125;68946;71489;#ERROR!;LMB90_RS10125;Op1408;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000069.1
LMB90_RS10130;71577;72131;#ERROR!;LMB90_RS10130;Op1446;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000069.1
LMB90_RS10145;74987;75946;#ERROR!;LMB90_RS10145;Op1499;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000069.1
LMB90_RS10155;76953;77879;#ERROR!;LMB90_RS10155;Op1522;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000069.1
LMB90_RS10165;79071;79706;#ERROR!;LMB90_RS10165;Op1550;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000069.1
LMB90_RS10175;80571;81332;#ERROR!;LMB90_RS10175;Op1568;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000069.1
LMB90_RS10180;81355;82713;#ERROR!;LMB90_RS10180;Op1578;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000069.1
LMB90_RS10230;94217;95056;#ERROR!;rfbD;Op1703;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000069.1
LMB90_RS10235;95128;97428;#ERROR!;LMB90_RS10235;Op1710;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000069.1
LMB90_RS10240;97500;98618;#ERROR!;LMB90_RS10240;Op1732;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000069.1
LMB90_RS10265;106126;107988;#ERROR!;LMB90_RS10265;Op1798;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000069.1
LMB90_RS06800;108242;109471;-;LMB90_RS06800;Op1798;Cell Wall/Membrane/Envelope Biogenesis;NZ_JAJGVJ010000069.1
LMB90_RS01710;16349;17599;#ERROR!;LMB90_RS01710;Op464;Cell Motility;NZ_JAJGVJ010000045.1
LMB90_RS03015;56002;56676;-;LMB90_RS03015;Op1217;Cell Motility;NZ_JAJGVJ010000050.1
LMB90_RS04170;2828;3499;-;LMB90_RS04170;Op101;Cell Motility;NZ_JAJGVJ010000054.1
LMB90_RS05430;35859;36905;#ERROR!;LMB90_RS05430;Op872;Cell Motility;NZ_JAJGVJ010000058.1
LMB90_RS05830;7043;7477;-;LMB90_RS05830;Op207;Cell Motility;NZ_JAJGVJ010000059.1
LMB90_RS05840;7785;8855;-;LMB90_RS05840;Op231;Cell Motility;NZ_JAJGVJ010000059.1
LMB90_RS05845;8773;9750;-;tadA;Op257;Cell Motility;NZ_JAJGVJ010000059.1
LMB90_RS08680;55169;55354;-;LMB90_RS08680;Op1203;Cell Motility;NZ_JAJGVJ010000066.1
LMB90_RS08925;105231;106466;-;LMB90_RS08925;Op1790;Cell Motility;NZ_JAJGVJ010000066.1
LMB90_RS09790;3893;5026;#ERROR!;LMB90_RS09790;Op129;Cell Motility;NZ_JAJGVJ010000069.1
LMB90_RS10220;92437;93018;#ERROR!;rfbC;Op1691;Cell Motility;NZ_JAJGVJ010000069.1
LMB90_RS00550;22547;23281;#ERROR!;LMB90_RS00550;Op599;Posttranslational Modifications, Protein Turnover, Chaperones;NZ_JAJGVJ010000030.1
LMB90_RS00595;31184;31612;#ERROR!;msrB;Op773;Posttranslational Modifications, Protein Turnover, Chaperones;NZ_JAJGVJ010000030.1
LMB90_RS00885;91880;92776;#ERROR!;htpX;Op1684;Posttranslational Modifications, Protein Turnover, Chaperones;NZ_JAJGVJ010000030.1
LMB90_RS01005;129723;131831;#ERROR!;ftsH;Op1911;Posttranslational Modifications, Protein Turnover, Chaperones;NZ_JAJGVJ010000030.1
